date,symbol,close,change,market cap,eps,ma50,diff50,ma200,diff200,industry
15th Feb,RELIANCE,2941.20,-0.727,1990047.98,103.41,2680.33,9.73,2512.66,17.06,refineries
15th Feb,TCS,4103.20,0.076,1484573.67,122.69,3839.56,6.87,3504.70,17.08,computers - software - large
15th Feb,HDFCBANK,1414.05,2.17,1073615.30,89.71,1571.73,-10.03,1589.13,-11.02,banks - private sector
15th Feb,ICICIBANK,1016.65,-0.592,713162.32,60.68,1006.80,0.978,964.55,5.40,banks - private sector
15th Feb,INFY,1676.35,0.609,695760.28,58.93,1591.18,5.35,1432.86,16.99,computers - software - large
15th Feb,SBIN,761.70,2.46,679787.69,71.48,644.49,18.19,596.85,27.62,banks - public sector
15th Feb,BHARTIARTL,1120.70,0.435,674349.90,14.77,1070.89,4.65,931.90,20.26,telecommunications - service provider
15th Feb,LICI,1056.10,-1.35,667983.01,63.76,879.79,20.04,689.25,53.23,finance & investments
15th Feb,HINDUNILVR,2350.85,-1.55,552353.66,43.91,2516.34,-6.58,2557.19,-8.07,personal care - multinational
15th Feb,ITC,403.90,-1.86,503889.83,16.49,452.14,-10.67,447.51,-9.74,cigarettes
15th Feb,LT,3300.30,-0.263,453642.18,90.49,3471.39,-4.93,2879.07,14.63,engineering - turnkey services
15th Feb,HCLTECH,1662.55,-0.535,451160.39,57.97,1510.98,10.03,1273.26,30.57,computers - software - large
15th Feb,BAJFINANCE,6619.40,-0.408,409094.20,227.17,7215.61,-8.26,7273.43,-8.99,finance & investments
15th Feb,ADANIENT,3193.80,-0.418,364093.56,30.82,2996.99,6.57,2530.89,26.19,trading
15th Feb,SUNPHARMA,1509.90,-0.691,362275.59,37.10,1336.56,12.97,1150.92,31.19,pharmaceuticals - indian - bulk drugs & formln
15th Feb,ONGC,277.30,3.14,348851.14,33.33,226.72,22.31,188.40,47.19,oil drilling / allied services
15th Feb,MARUTI,11090.25,0.565,348680.31,394.42,10302.10,7.65,10006.02,10.84,automobiles - passenger cars
15th Feb,KOTAKBANK,1739.25,-0.555,345702.43,87.58,1822,-4.54,1823.93,-4.64,banks - private sector
15th Feb,AXISBANK,1072.20,-2.25,330668.52,43.56,1095.72,-2.15,1005.31,6.65,banks - private sector
15th Feb,NTPC,339.25,3.43,328959.40,20.12,311.08,9.05,238.52,42.23,power generation and supply
15th Feb,TITAN,3622.05,1.02,321560.59,38.92,3665.38,-1.18,3223.17,12.38,diamond cutting / jewellery
15th Feb,TATAMOTORS,920.55,0.245,305884.69,50.59,805.85,14.23,656.59,40.20,automobiles - lcvs / hcvs
15th Feb,ADANIGREEN,1900.75,2.62,301084.97,8.46,1649.48,15.23,1139.40,66.82,power generation and supply
15th Feb,COALINDIA,476.85,2.25,293869.70,47.66,389.98,22.28,295.65,61.29,mining / minerals / metals
15th Feb,ASIANPAINT,3016.55,1.35,289346.81,56.71,3183.46,-5.24,3202.31,-5.80,paints / varnishes
15th Feb,ULTRACEMCO,9814.30,0.271,283325.76,222.47,9962.24,-1.49,8687.15,12.97,cement - north india
15th Feb,ADANIPORTS,1267.05,-0.063,273700.41,33.46,1141.45,11.00,866.90,46.16,miscellaneous
15th Feb,WIPRO,518.50,0.777,270885.26,21.06,465.67,11.35,417.61,24.16,computers - software - large
15th Feb,IOC,189.85,3.43,268091.71,34.04,142.07,33.63,105.48,79.98,refineries
15th Feb,POWERGRID,281.65,2.92,261951.51,19.75,245.77,14.60,205.29,37.19,power generation and supply
15th Feb,BAJAJFINSV,1569.40,-0.652,250396.01,49,1648.46,-4.80,1566.67,0.174,finance & investments
15th Feb,DMART,3678.60,-1.18,239378.67,37.44,3874.22,-5.05,3750.81,-1.93,trading
15th Feb,BAJAJ-AUTO,8123.05,0.492,230028.33,261.70,7037.05,15.43,5462.65,48.70,automobiles - scooters and 3 - wheelers
15th Feb,M&M,1765.05,6.52,219489.06,100.11,1661.21,6.25,1527.94,15.52,automobiles - passenger cars
15th Feb,ADANIPOWER,561.85,-0.363,216702.11,57.80,539.62,4.12,368.54,52.45,power generation and supply
15th Feb,DLF,851.40,0.901,210748.04,9.60,752.96,13.07,577.02,47.55,construction
15th Feb,IRFC,158.90,2.98,207658.56,4.67,124.52,27.61,71.02,123.75,finance - term-lending institutions
15th Feb,HAL,3023.20,2.24,202184.06,146.37,2892.90,4.50,2138.83,41.35,engineering
15th Feb,JSWSTEEL,812.35,-0.111,198656.45,46.26,832.03,-2.37,785.25,3.45,steel - large
15th Feb,VBL,1425.30,-0.377,185177.11,19.14,1249.20,14.10,971.56,46.70,food - processing - indian
15th Feb,TATASTEEL,141.20,0,174859.68,-2.73,135.49,4.21,122.81,14.97,steel - large
15th Feb,LTIM,5522.30,0.311,163445.33,155.34,5819.38,-5.11,5293.37,4.32,computers - software - large
15th Feb,SIEMENS,4346.75,-0.746,154796.57,56.32,4086.85,6.36,3768.65,15.34,electric equipment
15th Feb,SBILIFE,1453.35,-0.024,145515.24,18.58,1433.87,1.36,1329.72,9.30,finance & investments
15th Feb,PFC,435.45,0.196,143702.93,64.02,411.24,5.89,261.94,66.24,finance - term-lending institutions
15th Feb,BANKBARODA,275.70,2.95,142574.46,36.53,233.59,18.03,205.36,34.25,banks - public sector
15th Feb,PNB,128.85,4.80,141876.94,6.93,101.53,26.91,73.63,75.00,banks - public sector
15th Feb,GRASIM,2084.80,0.240,141873.98,85.67,2093.38,-0.410,1901.87,9.62,textiles - manmade
15th Feb,BPCL,652.75,4.67,141597.97,135.90,491.63,32.77,398.67,63.73,refineries
15th Feb,TRENT,3952.65,0.807,140511.75,23.53,3163.34,24.95,2239.08,76.53,trading
15th Feb,BEL,185.95,2.40,135925.34,4.89,179.77,3.44,141.52,31.40,electronics - components
15th Feb,PIDILITIND,2653.55,-0.362,134962.03,33.67,2652.33,0.046,2563.21,3.52,chemicals
15th Feb,ZOMATO,154.85,1.71,134888.53,-0.030,132.92,16.50,101.55,52.49,miscellaneous
15th Feb,HINDZINC,314.90,1.50,133055.30,19.65,315.93,-0.326,312.70,0.705,mining / minerals / metals
15th Feb,IOB,69.15,3.21,130710.18,1.33,49.01,41.09,36.50,89.45,banks - public sector
15th Feb,RECLTD,483.35,0.363,127276.88,49.73,444.77,8.67,279.06,73.20,finance - term-lending institutions
15th Feb,TECHM,1300.35,0.576,126935.54,31.87,1293.14,0.557,1197.61,8.58,computers - software - large
15th Feb,GODREJCP,1231.80,2.60,125991.01,17.45,1136.64,8.37,1046.94,17.66,personal care - indian
15th Feb,HDFCLIFE,585.10,-0.043,125835.09,7.11,626.52,-6.61,626.74,-6.64,finance & investments
