,Symbol,Accuracy,Precision,Recall,ROC Score
0,RELIANCE,0.94,0.72,1.0,0.96
1,TCS,0.93,0.79,0.81,0.88
2,HDFCBANK,0.95,0.77,0.96,0.95
3,ICICIBANK,0.97,0.81,1.0,0.98
4,INFY,0.95,0.85,1.0,0.97
5,SBIN,0.96,0.86,1.0,0.97
6,BHARTIARTL,0.91,0.77,0.98,0.93
7,LICI,0.83,0.78,0.82,0.83
8,HINDUNILVR,0.95,0.79,1.0,0.97
9,ITC,0.99,0.94,1.0,1.0
10,LT,0.97,0.89,1.0,0.98
11,HCLTECH,0.95,0.89,0.95,0.95
12,BAJFINANCE,0.97,1.0,0.79,0.9
13,ADANIENT,0.97,1.0,0.84,0.92
14,SUNPHARMA,0.91,0.68,1.0,0.95
15,ONGC,0.93,0.84,0.96,0.94
16,MARUTI,0.93,0.72,0.96,0.94
17,KOTAKBANK,0.96,0.64,0.78,0.87
18,AXISBANK,0.95,0.76,0.95,0.95
19,NTPC,0.95,0.87,0.94,0.95
20,TITAN,0.95,0.61,0.92,0.93
21,TATAMOTORS,0.89,0.78,0.89,0.89
22,ADANIGREEN,0.94,0.95,0.84,0.91
23,COALINDIA,0.93,0.81,0.98,0.94
24,ASIANPAINT,0.97,0.43,1.0,0.99
25,ULTRACEMCO,0.99,0.97,1.0,1.0
26,ADANIPORTS,0.95,0.9,0.94,0.94
27,WIPRO,0.95,0.92,0.92,0.94
28,IOC,0.94,0.9,0.91,0.93
29,POWERGRID,0.91,0.8,0.93,0.92
30,BAJAJFINSV,0.99,0.8,1.0,0.99
31,DMART,0.93,0.76,0.93,0.93
32,BAJAJ-AUTO,0.83,0.72,0.84,0.84
33,M&M,0.95,0.93,0.93,0.94
34,ADANIPOWER,0.96,0.91,0.96,0.96
35,DLF,0.62,0.49,0.93,0.68
36,IRFC,0.79,0.74,0.82,0.8
37,HAL,0.88,0.98,0.74,0.87
38,JSWSTEEL,0.81,0.45,0.6,0.73
39,VBL,0.97,0.96,0.94,0.96
40,TATASTEEL,0.94,0.86,0.89,0.92
41,LTIM,0.83,0.64,0.64,0.76
42,SIEMENS,0.95,0.91,0.98,0.96
43,SBILIFE,0.97,0.85,0.96,0.96
44,PFC,0.97,0.96,0.96,0.97
45,BANKBARODA,0.95,0.9,0.93,0.95
46,PNB,0.96,0.9,0.98,0.97
47,GRASIM,0.95,0.84,0.97,0.96
48,BPCL,0.93,0.86,0.84,0.9
49,TRENT,0.92,0.9,0.87,0.91
50,BEL,0.93,0.88,0.99,0.94
51,PIDILITIND,0.95,0.75,1.0,0.97
52,ZOMATO,0.81,0.74,0.93,0.82
53,HINDZINC,0.97,0.98,0.93,0.96
54,IOB,0.93,0.85,0.98,0.94
55,RECLTD,0.95,1.0,0.87,0.94
56,TECHM,0.93,0.88,0.74,0.86
57,GODREJCP,0.95,0.91,0.93,0.95
58,HDFCLIFE,0.95,0.76,1.0,0.97
59,GAIL,0.91,0.82,0.98,0.93
60,TATAPOWER,0.96,0.88,1.0,0.97
61,BRITANNIA,0.83,0.57,0.77,0.81
62,ADANIENSOL,0.8,0.56,0.83,0.81
63,INDIGO,0.94,0.87,0.93,0.94
64,HINDALCO,0.97,0.94,0.98,0.98
65,INDUSINDBK,0.96,0.78,0.88,0.92
66,CIPLA,0.98,0.96,0.92,0.96
67,AMBUJACEM,0.94,0.83,1.0,0.96
68,ATGL,0.95,0.8,0.8,0.88
69,UNIONBANK,0.95,0.94,0.92,0.94
70,TATACONSUM,0.91,0.68,0.93,0.92
71,EICHERMOT,0.96,0.89,0.94,0.95
72,CANBK,0.93,0.95,0.8,0.89
73,DRREDDY,0.92,0.72,0.88,0.91
74,LODHA,0.85,0.85,0.77,0.84
75,VEDL,0.94,0.88,0.96,0.95
76,TVSMOTOR,0.96,0.88,0.94,0.95
77,DIVISLAB,0.97,0.91,1.0,0.98
78,BAJAJHLDNG,0.95,0.78,0.96,0.95
79,IDBI,0.96,0.88,1.0,0.97
80,DABUR,0.94,0.86,0.76,0.87
81,HEROMOTOCO,0.97,0.96,0.94,0.96
82,APOLLOHOSP,0.95,0.9,0.88,0.92
83,SHREECEM,0.97,0.95,0.88,0.93
84,ABB,0.97,1.0,0.9,0.95
85,CHOLAFIN,0.97,0.91,1.0,0.98
86,NHPC,0.87,0.84,0.83,0.87
87,SHRIRAMFIN,0.85,0.76,0.79,0.84
88,ZYDUSLIFE,0.69,0.6,0.8,0.7
89,MANKIND,0.73,0.46,0.89,0.79
90,TORNTPHARM,0.93,0.83,0.98,0.95
91,HAVELLS,0.96,0.89,0.98,0.97
92,MAXHEALTH,0.94,0.92,0.91,0.93
93,YESBANK,0.95,0.87,0.98,0.96
94,BOSCHLTD,0.96,0.92,0.92,0.95
95,HINDPETRO,0.88,0.77,1.0,0.9
96,ICICIGI,0.92,0.75,1.0,0.95
97,HDFCAMC,0.94,0.83,0.98,0.95
98,JSWENERGY,0.93,0.86,0.94,0.93
99,BHEL,0.91,0.84,0.99,0.91
100,JINDALSTEL,0.97,0.97,0.93,0.96
101,IDEA,0.92,0.83,1.0,0.94
102,MOTHERSON,0.85,0.85,0.87,0.85
103,IRCTC,0.97,0.91,0.98,0.97
104,INDHOTEL,0.97,0.96,0.95,0.96
105,UCOBANK,0.95,0.95,0.89,0.94
106,LUPIN,0.96,0.89,0.98,0.97
107,CUMMINSIND,0.91,0.84,0.99,0.91
108,ICICIPRULI,0.96,0.9,0.98,0.97
109,NMDC,0.96,0.93,0.97,0.96
110,INDIANB,0.95,0.9,0.96,0.95
111,COLPAL,0.95,0.92,0.88,0.93
112,SRF,0.97,0.81,1.0,0.99
113,POLYCAB,0.7,0.57,0.72,0.71
114,SBICARD,0.99,1.0,0.8,0.9
115,OFSS,0.83,0.78,0.92,0.83
116,GICRE,0.94,0.91,0.89,0.93
117,MARICO,0.93,0.71,0.92,0.92
118,TIINDIA,0.97,0.98,0.91,0.95
119,PERSISTENT,0.95,0.87,1.0,0.96
120,CGPOWER,0.95,0.98,0.88,0.93
121,NAUKRI,0.95,0.87,0.98,0.96
122,BANKINDIA,0.93,0.84,0.93,0.93
123,BERGEPAINT,0.98,0.7,1.0,0.99
124,SUZLON,0.91,0.82,0.98,0.92
125,ALKEM,0.94,0.85,0.95,0.94
126,GODREJPROP,0.92,0.86,0.97,0.93
127,MRF,0.96,0.89,0.89,0.93
128,ABBOTINDIA,0.97,0.94,0.94,0.96
129,SOLARINDS,0.89,0.81,0.93,0.9
130,OIL,0.91,0.89,0.95,0.9
131,INDUSTOWER,0.81,0.79,0.85,0.81
132,AUROPHARMA,0.93,0.84,0.9,0.92
133,CENTRALBK,0.91,0.79,0.96,0.92
134,CONCOR,0.94,0.91,0.93,0.94
135,TORNTPOWER,0.96,0.97,0.94,0.96
136,PATANJALI,0.55,0.2,0.28,0.46
137,LTTS,0.96,0.82,0.96,0.96
138,IDFCFIRSTB,0.87,0.42,0.69,0.79
139,GMRINFRA,0.7,0.56,0.93,0.75
140,PIIND,0.97,0.85,0.96,0.96
141,RVNL,0.94,0.91,0.97,0.94
142,MUTHOOTFIN,0.97,0.95,0.84,0.92
143,PGHH,0.97,0.67,1.0,0.98
144,ASTRAL,0.96,0.87,1.0,0.97
145,SAIL,0.93,0.9,0.92,0.93
146,BHARATFORG,0.91,0.81,0.93,0.92
147,ASHOKLEY,0.96,0.91,0.95,0.96
148,MPHASIS,0.93,0.85,0.93,0.93
149,FACT,0.92,1.0,0.77,0.88
150,TATACOMM,0.96,0.91,0.91,0.94
151,ACC,0.96,0.89,0.98,0.97
152,JSL,0.92,0.84,0.94,0.93
153,SJVN,0.93,0.96,0.85,0.92
154,PHOENIXLTD,0.92,0.88,0.95,0.92
155,SUPREMEIND,0.97,0.9,1.0,0.98
156,LINDEINDIA,0.96,0.89,1.0,0.97
157,OBEROIRLTY,0.93,0.97,0.8,0.9
158,SCHAEFFLER,0.87,0.78,0.87,0.87
159,ABCAPITAL,0.95,0.87,0.98,0.96
