,Symbol,Accuracy,Precision,Recall,ROC Score
0,RELIANCE,0.96,0.67,1.0,0.98
1,TCS,0.96,0.82,0.93,0.95
2,HDFCBANK,0.92,0.59,0.91,0.92
3,ICICIBANK,0.96,0.6,1.0,0.98
4,INFY,0.95,0.79,0.97,0.96
5,SBIN,0.98,0.91,0.97,0.97
6,BHARTIARTL,0.92,0.75,0.95,0.93
7,LICI,0.86,0.69,0.84,0.85
8,HINDUNILVR,0.97,0.75,1.0,0.98
9,ITC,0.99,0.81,1.0,0.99
10,LT,0.95,0.75,0.88,0.92
11,HCLTECH,0.96,0.79,1.0,0.97
12,BAJFINANCE,0.94,0.72,0.88,0.92
13,ADANIENT,0.95,0.91,0.82,0.9
14,SUNPHARMA,0.95,0.77,0.88,0.92
15,ONGC,0.93,0.75,0.98,0.95
16,MARUTI,0.95,0.74,0.96,0.96
17,KOTAKBANK,0.98,0.67,0.86,0.92
18,AXISBANK,0.99,0.87,0.93,0.96
19,NTPC,0.9,0.85,0.71,0.84
20,TITAN,0.95,0.64,1.0,0.97
21,TATAMOTORS,0.98,1.0,0.89,0.95
22,ADANIGREEN,0.94,0.91,0.83,0.9
23,COALINDIA,0.94,0.91,0.78,0.88
24,ASIANPAINT,0.98,0.8,0.8,0.89
25,ULTRACEMCO,0.95,0.74,1.0,0.97
26,ADANIPORTS,0.95,0.88,0.91,0.94
27,WIPRO,0.95,0.88,0.91,0.94
28,IOC,0.95,0.89,0.83,0.9
29,POWERGRID,0.95,0.82,0.98,0.96
30,BAJAJFINSV,0.99,0.9,1.0,0.99
31,DMART,0.96,0.82,0.88,0.93
32,BAJAJ-AUTO,0.86,0.76,0.74,0.83
33,M&M,0.96,0.87,0.96,0.96
34,ADANIPOWER,0.96,0.92,0.88,0.93
35,DLF,0.79,0.53,0.83,0.8
36,IRFC,0.88,0.81,0.74,0.84
37,HAL,0.93,0.82,0.98,0.95
38,JSWSTEEL,0.83,0.31,0.52,0.7
39,VBL,0.96,0.9,0.94,0.95
40,TATASTEEL,0.96,0.88,0.92,0.95
